n_alter,n_date,explanation_on,avg,std,mae,msd
0,1,1,5600,1131.37085,3650,3650
0,1,1,5280,912.1403401,3330,3330
0,1,1,5520,715.5417528,3570,3570
0,1,1,6040,829.4576541,4090,4090
0,1,1,5760,876.356092,3810,3810
0,1,1,6240,1186.591758,4290,4290
0,1,1,6000,400,4050,4050
0,1,1,5360,654.2170894,3410,3410
0,1,1,5800,663.3249581,3850,3850
0,1,1,5920,438.178046,3970,3970
0,1,1,6240,1043.072385,4290,4290
0,1,1,5600,800,3650,3650
0,1,1,5320,1054.514106,3370,3370
0,1,1,6080,1213.260071,4130,4130
0,1,1,5280,438,3330,3330
0,1,1,5040,328.63,3090,3090
1,1,1,5220,722.4956747,3270,3270
1,1,1,11360,5072.277595,9410,9410
1,1,1,5330,171.7556404,3380,3380
1,1,1,6080,521.5361924,4130,4130
1,1,1,6320,521.5361924,4370,4370
1,1,1,6000,0,4050,4050
1,1,1,5600,0,3650,3650
1,1,1,5520,438.178046,3570,3570
1,1,1,4660,343.5112807,2710,2710
1,1,1,5160,409.8780306,3210,3210
1,1,1,5300,500,3350,3350
1,1,1,5480,432.4349662,3530,3530
1,1,1,5900,871.779,3950,3950
1,1,1,5360,606.6300355,3410,3410
1,1,1,5420,303.3150177,3470,3470
1,1,1,5470,958.9056262,3520,3520
2,1,1,4880,576.1944116,2930,2930
2,1,1,5600,800,3650,3650
2,1,1,5160,698.5699679,3210,3210
2,1,1,5440,1043.072385,3490,3490
2,1,1,5760,669.3280212,3810,3810
2,1,1,5680,593.295879,3730,3730
2,1,1,5500,883.1760866,3550,3550
2,1,1,5120,460.4345773,3170,3170
2,1,1,5509.4,270.4843803,3559.4,3559.4
2,1,1,5200,295.2964612,3250,3250
2,1,1,5424,242.6520142,3474,3474
2,1,1,5700,300,3750,3750
2,1,1,5066.6,679.836598,3116.6,3116.6
2,1,1,4980,301.4042136,3030,3030
2,1,1,5266.6,339.9673514,3316.6,3316.6
2,1,1,4800,141.4213562,2850,2850
0,2,1,2876,189.9473611,926,926
0,2,1,2740,151.6575089,790,790
0,2,1,2840,167.3320053,890,890
0,2,1,2844,147.2412986,894,894
0,2,1,2784,127.5931033,834,834
0,2,1,2756,177.9887637,806,806
0,2,1,2820,69.2820323,870,870
0,2,1,2796,168.7601849,846,846
0,2,1,2824,104.3072385,874,874
0,2,1,3158,759.0256913,1208,1208
0,2,1,2760,147.478812,810,810
0,2,1,2788,76.94153625,838,838
0,2,1,2862,94.97368056,912,912
0,2,1,2696,286.4960733,746,746
0,2,1,2740,167.3320053,790,790
0,2,1,2820,120,870,870
1,2,1,2640,41.83300133,690,690
1,2,1,2590,143.1782106,640,640
1,2,1,2740,82.15838363,790,790
1,2,1,2704,122.8006515,754,754
1,2,1,2720,115.1086443,770,770
1,2,1,2778,88.99438185,828,828
1,2,1,2846,97.87747443,896,896
1,2,1,2670,75.82875444,720,720
1,2,1,2822,74.29670248,872,872
1,2,1,2550,100,600,600
1,2,1,2742,76.94153625,792,792
1,2,1,2732,118.8276062,782,782
1,2,1,2700,86.60254038,750,750
1,2,1,2704,101.1434625,754,754
1,2,1,2690,89.4427191,740,740
1,2,1,2810,102.4695077,860,860
2,2,1,2630,97.46794345,680,680
2,2,1,2764,49.79959839,814,814
2,2,1,2660,54.77225575,710,710
2,2,1,2780,130.3840481,830,830
2,2,1,2670,67.08203932,720,720
2,2,1,2680,44.72135955,730,730
2,2,1,2678,104.4988038,728,728
2,2,1,2740,54.77225575,790,790
2,2,1,2794,65.42170894,844,844
2,2,1,2920,83.66600265,970,970
2,2,1,2680,44.72135955,730,730
2,2,1,2590,22.36067977,640,640
2,2,1,2608,54.03702434,658,658
2,2,1,2710,22.36067977,760,760
2,2,1,2660,54.77225575,710,710
2,2,1,2716,101.3903348,766,766
0,1,0,5040,589.9152482,3090,3090
0,1,0,5560,669.3280212,3610,3610
0,1,0,5560,669.3280212,3610,3610
0,1,0,5160,698.5699679,3210,3210
0,1,0,5480,626.0990337,3530,3530
0,1,0,5640,753.6577473,3690,3690
0,1,0,5040,357.7708764,3090,3090
0,1,0,13860,11592.15252,11910,11910
0,1,0,4960,669.3280212,3010,3010
0,1,0,5060,760.2631123,3110,3110
0,1,0,6400,1264.911064,4450,4450
0,1,0,9280,8267.526837,7330,7330
0,1,0,5344,983.7072735,3394,3394
0,1,0,4920,178.8854382,2970,2970
0,1,0,5800,824.6211251,3850,3850
0,1,0,10250,10396.27337,8300,8300
1,1,0,5740,606.6300355,3790,3790
1,1,0,5040,456.07017,3090,3090
1,1,0,4390,89.4427191,2440,2440
1,1,0,6000,282.8427125,4050,4050
1,1,0,5485,169.1892432,3535,3535
1,1,0,6480,2234.278407,4530,4530
1,1,0,4560,492.9503018,2610,2610
1,1,0,5320,277.4887385,3370,3370
1,1,0,5430,724.2237223,3480,3480
1,1,0,5200,380.7886553,3250,3250
1,1,0,7280,4013.975585,5330,5330
1,1,0,4960,456.07017,3010,3010
1,1,0,4940,646.529195,2990,2990
1,1,0,5320,496.9909456,3370,3370
1,1,0,4960,456.07017,3010,3010
1,1,0,7220,4083.13605,5270,5270
2,1,0,6293.4,197.6418478,3711.4,3711.4
2,1,0,5839.8,536.6439229,3257.8,3257.8
2,1,0,7626.8,357.6963796,5044.8,5044.8
2,1,0,6560,304.1200421,3978,3978
2,1,0,5920,306.9926709,3338,3338
2,1,0,5760,304.1200421,3178,3178
2,1,0,6453.4,223.3882271,3871.4,3871.4
2,1,0,6026.8,366.8060796,3444.8,3444.8
2,1,0,6586.8,119.4621279,4004.8,4004.8
2,1,0,5920,347.6269552,3338,3338
2,1,0,5799.8,245.0850873,3217.8,3217.8
2,1,0,5760,695.4455406,3178,3178
2,1,0,6720,295.8791983,4138,4138
2,1,0,6253.2,213.0884793,3671.2,3671.2
2,1,0,5887.4,332.6015634,3305.4,3305.4
2,1,0,6159.8,146.1050992,3577.8,3577.8
0,2,0,2732,199.7998999,782,782
0,2,0,2788,87.86353055,838,838
0,2,0,2853.6,145.7559604,903.6,903.6
0,2,0,2776,71.27411872,826,826
0,2,0,2920,164.3167673,970,970
0,2,0,2780,72.11102551,830,830
0,2,0,2712,131.605471,762,762
0,2,0,2660.8,204.2625761,710.8,710.8
0,2,0,2822.2,162.3705638,872.2,872.2
0,2,0,2792,243.5569749,842,842
0,2,0,2840,207.3644135,890,890
0,2,0,2664,92.08691547,714,714
0,2,0,2752,64.18722614,802,802
0,2,0,2844,227.3323558,894,894
0,2,0,2752,241.9090738,802,802
0,2,0,2824,127.5931033,874,874
1,2,0,2880,63.2455532,930,930
1,2,0,2824,89.88882022,874,874
1,2,0,2722.8,26.63080923,772.8,772.8
1,2,0,2728.8,64.08744027,778.8,778.8
1,2,0,2808.8,115.4867958,858.8,858.8
1,2,0,2851.2,95.9150666,901.2,901.2
1,2,0,2806,40.37325848,856,856
1,2,0,2824,117.0149563,874,874
1,2,0,2748,211.5892247,798,798
1,2,0,2760,54.77225575,810,810
1,2,0,2818.8,84.06664023,868.8,868.8
1,2,0,2702,58.05170109,752,752
1,2,0,2785.4,136.6228385,835.4,835.4
1,2,0,2788.8,125.6073246,838.8,838.8
1,2,0,2778,88.99438185,828,828
1,2,0,2702,95.49869109,752,752
2,2,0,2789.2,41.32432698,839.2,839.2
2,2,0,2701.2,68.57623495,751.2,751.2
2,2,0,2678.2,85.88480657,728.2,728.2
2,2,0,2816.6,55.25214928,866.6,866.6
2,2,0,3084.2,342.8530297,1134.2,1134.2
2,2,0,2954,50.7937004,1004,1004
2,2,0,2766.8,91.4696671,816.8,816.8
2,2,0,2706,79.52672507,756,756
2,2,0,2741.8,149.9956666,791.8,791.8
2,2,0,2807.2,69.92281459,857.2,857.2
2,2,0,2926.6,49.31835358,976.6,976.6
2,2,0,2743.4,99.08481216,793.4,793.4
2,2,0,2810,21.26029163,860,860
2,2,0,2950.8,29.47371711,1000.8,1000.8
2,2,0,2802,87.51856946,852,852
2,2,0,2682.8,56.16671612,732.8,732.8
